hid,pid,person_number,age,sex
60260,140025,1,83,1
60260,140026,2,78,2
60261,140027,1,66,1
60261,140028,2,60,2
60261,140029,3,16,2
60262,140030,1,83,2
60262,140031,2,81,1
60263,140032,1,62,2
60264,140033,1,80,1
60264,140034,2,78,2
60264,140035,3,59,1
60264,140036,4,45,2
60264,140037,5,7,2
60265,140038,1,65,1
60266,140039,1,66,1
60266,140040,2,63,2
60267,140041,1,25,1
60267,140042,2,21,1
60268,140043,1,37,1
60268,140044,2,32,2
60268,140045,3,13,2
60268,140046,4,12,2
60268,140047,5,8,1
60269,140048,1,57,1
60269,140049,2,56,2
60270,140050,1,83,2
60271,140051,1,82,2
60272,140052,1,80,1
60272,140053,2,68,2
60273,140054,1,42,1
60273,140055,2,38,2
60273,140056,3,10,1
60273,140057,4,36,2
60273,140058,5,3,1
60274,140059,1,38,1
60274,140060,2,32,2
60274,140061,3,12,2
60274,140062,4,7,1
60274,140063,5,16,2
60275,140064,1,50,1
60275,140065,2,16,1
60276,140066,1,77,1
60276,140067,2,69,2
60277,140068,1,87,2
60278,140069,1,40,2
60278,140070,2,42,1
60278,140071,3,11,2
60278,140072,4,8,2
60279,140073,1,25,1
60279,140074,2,21,1
60280,140075,1,67,1
60280,140076,2,67,2
60281,140077,1,66,2
60281,140078,2,54,1
60282,140079,1,51,2
60283,140080,1,78,2
60284,140081,1,77,1
60284,140082,2,62,2
60285,140083,1,39,2
60285,140084,2,13,1
60285,140085,3,13,1
60285,140086,4,12,2
60285,140087,5,38,1
60286,140088,1,36,1
60286,140089,2,36,2
60286,140090,3,14,2
60286,140091,4,11,2
60286,140092,5,8,2
60287,140093,1,94,2
60287,140094,2,63,2
60287,140095,3,69,1
60288,140096,1,56,2
60289,140097,1,76,2
60290,140098,1,60,1
60290,140099,2,60,2
60291,140100,1,44,2
60291,140101,2,44,1
60291,140102,3,16,2
60292,140103,1,47,2
60293,140104,1,70,1
60293,140105,2,69,2
60294,140106,1,66,1
60295,140107,1,66,1
60295,140108,2,53,2
60296,140109,1,34,2
60296,140110,2,6,2
60296,140111,3,4,2
60296,140112,4,28,1
60296,140113,5,24,1
60297,140114,1,60,1
60297,140115,2,59,2
60298,140116,1,66,1
60298,140117,2,66,2
60299,140118,1,70,1
60299,140119,2,62,2
60300,140120,1,75,1
60300,140121,2,73,2
60301,140122,1,47,2
60301,140123,2,49,1
60301,140124,3,20,2
60301,140125,4,18,1
60301,140126,5,13,2
60302,140127,1,33,1
60303,140128,1,60,2
60303,140129,2,72,1
60304,140130,1,54,2
60304,140131,2,56,1
60305,140132,1,36,1
60305,140133,2,38,2
60305,140134,3,15,2
60305,140135,4,14,2
60305,140136,5,5,1
60306,140137,1,25,2
60306,140138,2,25,1
60307,140139,1,88,1
60308,140140,1,42,1
60308,140141,2,40,2
60308,140142,3,18,2
60308,140143,4,16,2
60308,140144,5,14,2
60309,140145,1,64,1
60309,140146,2,64,2
60310,140147,1,73,2
60311,140148,1,68,2
60312,140149,1,76,2
60312,140150,2,47,2
60312,140151,3,51,1
60313,140152,1,65,2
60313,140153,2,66,1
60314,140154,1,72,1
60314,140155,2,75,2
60315,140156,1,79,1
60316,140157,1,49,2
60316,140158,2,76,2
60317,140159,1,82,1
60317,140160,2,79,2
60318,140161,1,55,2
60318,140162,2,12,2
60319,140163,1,60,1
60319,140164,2,58,2
60320,140165,1,69,1
60321,140166,1,82,1
60321,140167,2,77,2
60322,140168,1,66,2
60322,140169,2,54,1
60323,140170,1,49,2
60323,140171,2,49,1
60323,140172,3,18,1
60324,140173,1,49,1
60324,140174,2,46,2
60325,140175,1,40,2
60325,140176,2,21,2
60325,140177,3,22,1
60326,140178,1,73,1
60326,140179,2,75,2
60327,140180,1,66,2
60327,140181,2,43,2
60328,140182,1,53,1
60328,140183,2,50,1
60329,140184,1,61,2
60329,140185,2,61,2
60330,140186,1,73,2
60330,140187,2,72,1
60331,140188,1,87,2
60332,140189,1,29,2
60332,140190,2,29,1
60333,140191,1,56,2
60333,140192,2,46,1
60334,140193,1,61,2
60334,140194,2,62,1
60335,140195,1,69,1
60335,140196,2,69,2
60336,140197,1,64,1
60336,140198,2,61,2
60336,140199,3,32,2
60336,140200,4,6,1
60337,140201,1,29,2
60337,140202,2,37,1
60337,140203,3,1,2
60338,140204,1,83,2
60339,140205,1,78,2
60340,140206,1,70,1
60340,140207,2,67,2
60341,140208,1,27,1
60341,140209,2,25,2
60342,140210,1,66,1
60342,140211,2,60,2
60343,140212,1,77,2
60344,140213,1,46,2
60345,140214,1,28,1
60345,140215,2,25,2
60345,140216,3,6,2
60345,140217,4,1,1
60346,140218,1,33,1
60346,140219,2,32,2
60347,140220,1,39,2
60347,140221,2,13,1
60347,140222,3,13,1
60347,140223,4,12,2
60347,140224,5,38,1
60348,140225,1,54,2
60348,140226,2,58,1
60349,140227,1,54,1
60350,140228,1,48,2
60350,140229,2,17,2
60350,140230,3,12,2
60351,140231,1,36,1
60352,140232,1,78,1
60352,140233,2,80,2
60353,140234,1,70,1
60353,140235,2,62,2
60354,140236,1,77,2
60354,140237,2,78,1
60355,140238,1,49,1
60356,140239,1,38,2
60356,140240,2,28,1
60356,140241,3,10,2
60356,140242,4,3,1
60357,140243,1,79,1
60357,140244,2,76,2
60358,140245,1,74,1
60358,140246,2,35,2
60359,140247,1,71,2
60359,140248,2,50,1
60360,140249,1,62,2
60360,140250,2,28,1
60361,140251,1,82,2
60362,140252,1,84,1
60362,140253,2,75,2
60363,140254,1,69,2
60364,140255,1,31,2
60364,140256,2,37,1
60364,140257,3,11,2
60364,140258,4,6,1
60365,140259,1,45,1
60365,140260,2,0,1
60366,140261,1,52,1
60366,140262,2,51,2
60367,140263,1,60,1
60367,140264,2,55,2
60367,140265,3,26,1
60368,140266,1,41,2
60368,140267,2,41,1
60369,140268,1,68,2
60369,140269,2,68,1
60370,140270,1,65,2
60370,140271,2,68,1
60371,140272,1,36,2
60371,140273,2,39,1
60371,140274,3,10,1
60371,140275,4,7,1
60372,140276,1,66,1
60372,140277,2,53,2
60373,140278,1,64,1
60374,140279,1,94,2
60375,140280,1,38,2
60375,140281,2,17,2
60375,140282,3,14,1
60376,140283,1,76,2
60376,140284,2,47,2
60376,140285,3,51,1
60377,140286,1,30,1
60377,140287,2,34,2
60377,140288,3,1,2
60378,140289,1,25,1
60378,140290,2,21,1
60379,140291,1,36,1
60380,140292,1,59,2
60380,140293,2,58,1
60381,140294,1,69,1
60381,140295,2,64,2
60382,140296,1,29,2
60382,140297,2,31,1
60382,140298,3,0,2
60383,140299,1,40,2
60383,140300,2,21,1
60383,140301,3,20,1
60383,140302,4,14,1
60383,140303,5,57,1
60384,140304,1,76,1
60384,140305,2,64,2
60384,140306,3,57,1
60385,140307,1,41,1
60386,140308,1,69,1
60386,140309,2,57,2
60387,140310,1,44,2
60387,140311,2,51,1
60388,140312,1,75,2
60388,140313,2,75,1
60389,140314,1,50,2
60389,140315,2,61,1
60389,140316,3,23,1
60390,140317,1,61,2
60390,140318,2,63,1
60391,140319,1,77,1
60391,140320,2,62,2
60392,140321,1,52,2
60392,140322,2,17,2
60392,140323,3,16,1
60392,140324,4,15,2
60392,140325,5,13,2
60393,140326,1,50,1
60393,140327,2,48,2
60394,140328,1,41,1
60394,140329,2,41,2
60394,140330,3,16,1
60395,140331,1,40,2
60395,140332,2,48,1
60395,140333,3,4,1
60396,140334,1,66,2
60396,140335,2,54,1
60397,140336,1,44,2
60397,140337,2,51,1
60398,140338,1,28,1
60398,140339,2,28,2
60399,140340,1,35,2
60399,140341,2,15,2
60400,140342,1,38,1
60400,140343,2,36,2
60400,140344,3,16,2
60400,140345,4,12,2
60400,140346,5,7,1
60401,140347,1,61,2
60401,140348,2,60,1
60402,140349,1,62,2
60402,140350,2,28,1
60403,140351,1,53,1
60403,140352,2,53,2
60404,140353,1,47,2
60404,140354,2,14,2
60405,140355,1,65,2
60405,140356,2,65,1
60406,140357,1,29,2
60406,140358,2,31,1
60406,140359,3,0,2
60407,140360,1,26,2
60407,140361,2,32,1
60407,140362,3,5,1
60407,140363,4,4,1
60407,140364,5,1,2
60408,140365,1,59,1
60408,140366,2,56,2
60409,140367,1,79,2
60410,140368,1,71,1
60410,140369,2,69,2
60411,140370,1,77,1
60411,140371,2,62,2
60412,140372,1,63,2
60412,140373,2,47,2
60413,140374,1,71,1
60413,140375,2,63,2
60413,140376,3,68,1
60413,140377,4,63,2
60413,140378,5,71,2
60414,140379,1,65,2
60415,140380,1,31,1
60415,140381,2,59,2
60416,140382,1,80,1
60416,140383,2,79,2
60417,140384,1,70,1
60417,140385,2,64,2
60417,140386,3,5,2
60417,140387,4,42,1
60417,140388,5,38,2
60418,140389,1,87,2
60419,140390,1,72,1
60420,140391,1,38,2
60420,140392,2,17,2
60420,140393,3,14,1
60421,140394,1,49,2
60421,140395,2,42,1
60422,140396,1,75,1
60423,140397,1,36,2
60424,140398,1,67,1
60424,140399,2,65,2
60425,140400,1,41,1
60425,140401,2,43,2
60425,140402,3,16,1
60425,140403,4,11,2
60425,140404,5,21,1
60426,140405,1,44,2
60426,140406,2,45,1
60426,140407,3,24,1
60427,140408,1,75,1
60427,140409,2,74,2
60428,140410,1,44,2
60428,140411,2,51,1
60429,140412,1,66,1
60430,140413,1,94,2
60430,140414,2,63,2
60430,140415,3,69,1
60431,140416,1,66,1
60431,140417,2,53,2
60432,140418,1,73,2
60432,140419,2,76,1
60433,140420,1,67,1
60433,140421,2,58,2
60434,140422,1,40,1
60434,140423,2,37,2
60435,140424,1,37,1
60435,140425,2,67,2
60436,140426,1,75,2
60436,140427,2,79,1
60437,140428,1,43,1
60437,140429,2,45,2
60437,140430,3,23,1
60438,140431,1,80,1
60438,140432,2,75,2
60439,140433,1,35,1
60439,140434,2,35,2
60439,140435,3,8,1
60439,140436,4,6,1
60439,140437,5,3,2
60440,140438,1,57,2
60441,140439,1,31,2
60441,140440,2,7,1
60442,140441,1,67,2
60442,140442,2,70,1
60442,140443,3,34,2
60443,140444,1,33,1
60444,140445,1,71,1
60445,140446,1,82,2
60446,140447,1,41,1
