inf_1,inf_2,was_inf,inf_weight_1,inf_weight_2,s_t+d,age,pid
0.0,1.0,0.0,0.0,3300.0,0.0,51,142959
0.0,2.0,0.0,0.0,3300.0,0.0,51,142959
0.0,3.0,0.0,0.0,3300.0,0.0,51,142959
0.0,4.0,0.0,0.0,3300.0,0.0,51,142959
0.0,4.0,0.0,0.0,3300.0,0.0,51,142959
0.0,1.0,0.0,0.0,9300.0,0.0,51,142959
0.0,2.0,0.0,0.0,16650.0,0.0,51,142959
0.0,3.0,0.0,0.0,21960.0,0.0,51,142959
0.0,1.0,0.0,0.0,1800.0,0.0,38,142962
0.0,2.0,0.0,0.0,38399.5,0.0,15,142964
0.0,4.0,0.0,0.0,38399.5,0.0,15,142964
0.0,6.0,0.0,0.0,38399.5,0.0,15,142964
0.0,7.0,0.0,0.0,38399.5,0.0,15,142964
0.0,6.0,0.0,0.0,38399.5,0.0,15,142964
0.0,5.0,0.0,0.0,38399.5,0.0,15,142964
0.0,5.0,0.0,0.0,54000.0,0.0,15,142964
0.0,6.0,0.0,0.0,54000.0,0.0,15,142964
0.0,6.0,0.0,0.0,54000.0,0.0,15,142964
0.0,6.0,0.0,0.0,54000.0,0.0,15,142964
0.0,2.0,0.0,0.0,34215.0,0.0,15,142964
0.0,3.0,0.0,0.0,34215.0,0.0,15,142964
0.0,1.0,0.0,0.0,9450.0,0.0,14,142965
0.0,2.0,0.0,0.0,9450.0,0.0,14,142965
0.0,3.0,0.0,0.0,9450.0,0.0,14,142965
0.0,4.0,0.0,0.0,9450.0,0.0,14,142965
0.0,4.0,0.0,0.0,9450.0,0.0,14,142965
0.0,4.0,0.0,0.0,9450.0,0.0,14,142965
0.0,5.0,0.0,0.0,10200.0,0.0,14,142965
0.0,6.0,0.0,0.0,10200.0,0.0,14,142965
0.0,6.0,0.0,0.0,10200.0,0.0,14,142965
0.0,6.0,0.0,0.0,10200.0,0.0,14,142965
0.0,1.0,0.0,0.0,42750.0,0.0,14,142965
0.0,1.0,0.0,0.0,2550.0,0.0,15,142972
0.0,2.0,0.0,0.0,2550.0,0.0,15,142972
0.0,3.0,0.0,0.0,2550.0,0.0,15,142972
0.0,4.0,0.0,0.0,2550.0,0.0,15,142972
0.0,1.0,0.0,0.0,46649.5,0.0,15,142972
0.0,2.0,0.0,0.0,46649.5,0.0,15,142972
0.0,2.0,0.0,0.0,43650.0,0.0,15,142972
0.0,4.0,0.0,0.0,72750.0,0.0,15,142972
0.0,1.0,0.0,0.0,1740.0,0.0,51,142975
0.0,2.0,0.0,0.0,1740.0,0.0,51,142975
0.0,3.0,0.0,0.0,1740.0,0.0,51,142975
